Date;Nationality;Sex;Age;Population
1971-12-31;Germans;Male;38 years;333100
1971-12-31;Germans;Male;39 years;340364
1971-12-31;Germans;Male;40 years;356154
1971-12-31;Germans;Male;41 years;384551
1971-12-31;Germans;Male;42 years;381995
1971-12-31;Germans;Male;43 years;391431
1971-12-31;Germans;Male;44 years;355813
1971-12-31;Germans;Male;45 years;335592
1971-12-31;Germans;Male;46 years;327351
1971-12-31;Germans;Male;47 years;290497
1971-12-31;Germans;Male;48 years;288853
1971-12-31;Germans;Male;49 years;309081
1971-12-31;Germans;Male;50 years;322155
1971-12-31;Germans;Male;51 years;316160
1971-12-31;Germans;Male;52 years;245888
1971-12-31;Germans;Male;53 years;165594
1971-12-31;Germans;Male;54 years;161555
1971-12-31;Germans;Male;55 years;177164
1971-12-31;Germans;Male;56 years;231528
1971-12-31;Germans;Male;57 years;293934
1971-12-31;Germans;Male;58 years;305519
1971-12-31;Germans;Male;59 years;313538
1971-12-31;Germans;Male;60 years;298235
1971-12-31;Germans;Male;61 years;299575
1971-12-31;Germans;Male;62 years;306404
1971-12-31;Germans;Male;63 years;299529
1971-12-31;Germans;Male;64 years;296775
1971-12-31;Germans;Male;65 years;284876
1971-12-31;Germans;Male;66 years;286301
1971-12-31;Germans;Male;67 years;277244
1971-12-31;Germans;Male;68 years;256362
1971-12-31;Germans;Male;69 years;247036
1971-12-31;Germans;Male;70 years;229380
1971-12-31;Germans;Male;71 years;207551
1971-12-31;Germans;Male;72 years;183452
1971-12-31;Germans;Male;73 years;162674
1971-12-31;Germans;Male;74 years;141283
1971-12-31;Germans;Male;75 years;126779
1971-12-31;Germans;Male;76 years;109437
1971-12-31;Germans;Male;77 years;96403
1971-12-31;Germans;Male;78 years;87942
1971-12-31;Germans;Male;79 years;76667
1971-12-31;Germans;Male;80 years;69197
1971-12-31;Germans;Male;81 years;59271
1971-12-31;Germans;Male;82 years;50983
1971-12-31;Germans;Male;83 years;44617
1971-12-31;Germans;Male;84 years;37335
1971-12-31;Germans;Male;85 years and over;130638
1971-12-31;Germans;Male;Total;27405445
1971-12-31;Germans;Female;under 1 year;333191
1971-12-31;Germans;Female;1 year;354306
1971-12-31;Germans;Female;2 years;405357
1971-12-31;Germans;Female;3 years;438565
1971-12-31;Germans;Female;4 years;459056
1971-12-31;Germans;Female;5 years;474220
1971-12-31;Germans;Female;6 years;475614
1971-12-31;Germans;Female;7 years;487403
1971-12-31;Germans;Female;8 years;484252
1971-12-31;Germans;Female;9 years;467107
1971-12-31;Germans;Female;10 years;466377
1971-12-31;Germans;Female;11 years;449961
1971-12-31;Germans;Female;12 years;437863
1971-12-31;Germans;Female;13 years;418279
1971-12-31;Germans;Female;14 years;410967
1971-12-31;Germans;Female;15 years;397202
1971-12-31;Germans;Female;16 years;380762
1971-12-31;Germans;Female;17 years;383897
1971-12-31;Germans;Female;18 years;370606
1971-12-31;Germans;Female;19 years;370925
1971-12-31;Germans;Female;20 years;365705
1971-12-31;Germans;Female;21 years;371197
1971-12-31;Germans;Female;22 years;371232
1971-12-31;Germans;Female;23 years;353437
1971-12-31;Germans;Female;24 years;335193
1971-12-31;Germans;Female;25 years;311224
1971-12-31;Germans;Female;26 years;266285
1971-12-31;Germans;Female;27 years;362573
1971-12-31;Germans;Female;28 years;371521
1971-12-31;Germans;Female;29 years;362962
1971-12-31;Germans;Female;30 years;449975
1971-12-31;Germans;Female;31 years;486701
1971-12-31;Germans;Female;32 years;483881
1971-12-31;Germans;Female;33 years;457642
1971-12-31;Germans;Female;34 years;432725
1971-12-31;Germans;Female;35 years;430945
1971-12-31;Germans;Female;36 years;423361
1971-12-31;Germans;Female;37 years;399509
1971-12-31;Germans;Female;38 years;327280
1971-12-31;Germans;Female;39 years;334982
1971-12-31;Germans;Female;40 years;349470
1971-12-31;Germans;Female;41 years;376968
1971-12-31;Germans;Female;42 years;373584
1971-12-31;Germans;Female;43 years;382152
1971-12-31;Germans;Female;44 years;375395
1971-12-31;Germans;Female;45 years;392960
1971-12-31;Germans;Female;46 years;413109
1971-12-31;Germans;Female;47 years;407035
1971-12-31;Germans;Female;48 years;408721
1971-12-31;Germans;Female;49 years;430881
1971-12-31;Germans;Female;50 years;456548
1971-12-31;Germans;Female;51 years;460124
1971-12-31;Germans;Female;52 years;353009
1971-12-31;Germans;Female;53 years;237509
1971-12-31;Germans;Female;54 years;229045
1971-12-31;Germans;Female;55 years;253663
1971-12-31;Germans;Female;56 years;334954
1971-12-31;Germans;Female;57 years;427971
1971-12-31;Germans;Female;58 years;433020
1971-12-31;Germans;Female;59 years;439264
1971-12-31;Germans;Female;60 years;418914
1971-12-31;Germans;Female;61 years;430135
1971-12-31;Germans;Female;62 years;433650
1971-12-31;Germans;Female;63 years;426754
1971-12-31;Germans;Female;64 years;411650
1971-12-31;Germans;Female;65 years;402031
1971-12-31;Germans;Female;66 years;380673
1971-12-31;Germans;Female;67 years;373348
1971-12-31;Germans;Female;68 years;352087
1971-12-31;Germans;Female;69 years;348923
1971-12-31;Germans;Female;70 years;331316
1971-12-31;Germans;Female;71 years;307625
1971-12-31;Germans;Female;72 years;290330
1971-12-31;Germans;Female;73 years;276834
1971-12-31;Germans;Female;74 years;253453
1971-12-31;Germans;Female;75 years;240471
1971-12-31;Germans;Female;76 years;215944
1971-12-31;Germans;Female;77 years;197788
1971-12-31;Germans;Female;78 years;178866
1971-12-31;Germans;Female;79 years;156577
1971-12-31;Germans;Female;80 years;140518
1971-12-31;Germans;Female;81 years;119354
1971-12-31;Germans;Female;82 years;104368
1971-12-31;Germans;Female;83 years;88816
1971-12-31;Germans;Female;84 years;74110
1971-12-31;Germans;Female;85 years and over;255044
1971-12-31;Germans;Female;Total;30909201
1971-12-31;Foreigners;Male;under 1 year;40280
1971-12-31;Foreigners;Male;1 year;30701
1971-12-31;Foreigners;Male;2 years;26890
1971-12-31;Foreigners;Male;3 years;26897
1971-12-31;Foreigners;Male;4 years;26693
1971-12-31;Foreigners;Male;5 years;25217
1971-12-31;Foreigners;Male;6 years;23194
1971-12-31;Foreigners;Male;7 years;21111
1971-12-31;Foreigners;Male;8 years;18499
